"price","timestamp"
2539,"2023-03-21T15:00:00"
2495,"2023-03-21T16:00:00"
2469,"2023-03-21T17:00:00"
2507,"2023-03-21T18:00:00"
2524,"2023-03-21T19:00:00"
2540,"2023-03-21T20:00:00"
2543,"2023-03-21T21:00:00"
2638,"2023-03-21T22:00:00"
2632,"2023-03-21T23:00:00"
2568,"2023-03-22T00:00:00"
2540,"2023-03-22T01:00:00"
2497,"2023-03-22T02:00:00"
2510,"2023-03-22T03:00:00"
2498,"2023-03-22T04:00:00"
2492,"2023-03-22T05:00:00"
2493,"2023-03-22T06:00:00"
2488,"2023-03-22T07:00:00"
2475,"2023-03-22T08:00:00"
2465,"2023-03-22T09:00:00"
2446,"2023-03-22T10:00:00"
2477,"2023-03-22T11:00:00"
2486,"2023-03-22T12:00:00"
2520,"2023-03-22T13:00:00"
2544,"2023-03-22T14:00:00"
2562,"2023-03-22T15:00:00"
2536,"2023-03-22T16:00:00"
2546,"2023-03-22T17:00:00"
2528,"2023-03-22T18:00:00"
2538,"2023-03-22T19:00:00"
2556,"2023-03-22T20:00:00"
2567,"2023-03-22T21:00:00"
2595,"2023-03-22T22:00:00"
2579,"2023-03-22T23:00:00"
2562,"2023-03-23T00:00:00"
2538,"2023-03-23T01:00:00"
2528,"2023-03-23T02:00:00"
2531,"2023-03-23T03:00:00"
2549,"2023-03-23T04:00:00"
2552,"2023-03-23T05:00:00"
2574,"2023-03-23T06:00:00"
2557,"2023-03-23T07:00:00"
2551,"2023-03-23T08:00:00"
2557,"2023-03-23T09:00:00"
2573,"2023-03-23T10:00:00"
2574,"2023-03-23T11:00:00"
2575,"2023-03-23T12:00:00"
2579,"2023-03-23T13:00:00"
2612,"2023-03-23T14:00:00"
2639,"2023-03-23T15:00:00"
2652,"2023-03-23T16:00:00"
2762,"2023-03-23T17:00:00"
2829,"2023-03-23T18:00:00"
2781,"2023-03-23T19:00:00"
2757,"2023-03-23T20:00:00"
2747,"2023-03-23T21:00:00"
2777,"2023-03-23T22:00:00"
2829,"2023-03-23T23:00:00"
2837,"2023-03-24T00:00:00"
2790,"2023-03-24T01:00:00"
2776,"2023-03-24T02:00:00"
2755,"2023-03-24T03:00:00"
2733,"2023-03-24T04:00:00"
2720,"2023-03-24T05:00:00"
2701,"2023-03-24T06:00:00"
2667,"2023-03-24T07:00:00"
2657,"2023-03-24T08:00:00"
2688,"2023-03-24T09:00:00"
2700,"2023-03-24T10:00:00"
2699,"2023-03-24T11:00:00"
2669,"2023-03-24T12:00:00"
2691,"2023-03-24T13:00:00"
2745,"2023-03-24T14:00:00"
2713,"2023-03-24T15:00:00"
2684,"2023-03-24T16:00:00"
2707,"2023-03-24T17:00:00"
2701,"2023-03-24T18:00:00"
2706,"2023-03-24T19:00:00"
2722,"2023-03-24T20:00:00"
2705,"2023-03-24T21:00:00"
2713,"2023-03-24T22:00:00"
2723,"2023-03-24T23:00:00"
2724,"2023-03-25T00:00:00"
2726,"2023-03-25T01:00:00"
2716,"2023-03-25T02:00:00"
2703,"2023-03-25T03:00:00"
2696,"2023-03-25T04:00:00"
2707,"2023-03-25T05:00:00"
2687,"2023-03-25T06:00:00"
2682,"2023-03-25T07:00:00"
2680,"2023-03-25T08:00:00"
2697,"2023-03-25T09:00:00"
2696,"2023-03-25T10:00:00"
2695,"2023-03-25T11:00:00"
2699,"2023-03-25T12:00:00"
2705,"2023-03-25T13:00:00"
2702,"2023-03-25T14:00:00"
2700,"2023-03-25T15:00:00"
2707,"2023-03-25T16:00:00"
2713,"2023-03-25T17:00:00"
2704,"2023-03-25T18:00:00"
2711,"2023-03-25T19:00:00"
2710,"2023-03-25T20:00:00"
2714,"2023-03-25T21:00:00"
2723,"2023-03-25T22:00:00"
2728,"2023-03-25T23:00:00"
2727,"2023-03-26T00:00:00"
2714,"2023-03-26T01:00:00"
2711,"2023-03-26T02:00:00"
2722,"2023-03-26T03:00:00"
2719,"2023-03-26T04:00:00"
2713,"2023-03-26T05:00:00"
2717,"2023-03-26T06:00:00"
2720,"2023-03-26T07:00:00"
2719,"2023-03-26T08:00:00"
2726,"2023-03-26T09:00:00"
2730,"2023-03-26T10:00:00"
2734,"2023-03-26T11:00:00"
2729,"2023-03-26T12:00:00"
2721,"2023-03-26T13:00:00"
2713,"2023-03-26T14:00:00"
2720,"2023-03-26T15:00:00"
2722,"2023-03-26T16:00:00"
2739,"2023-03-26T17:00:00"
2743,"2023-03-26T18:00:00"
2784,"2023-03-26T19:00:00"
2776,"2023-03-26T20:00:00"
2765,"2023-03-26T21:00:00"
2770,"2023-03-26T22:00:00"
2771,"2023-03-26T23:00:00"
2753,"2023-03-27T00:00:00"
2737,"2023-03-27T01:00:00"
2743,"2023-03-27T02:00:00"
2769,"2023-03-27T03:00:00"
2787,"2023-03-27T04:00:00"
2771,"2023-03-27T05:00:00"
2769,"2023-03-27T06:00:00"
2756,"2023-03-27T07:00:00"
2746,"2023-03-27T08:00:00"
2753,"2023-03-27T09:00:00"
2751,"2023-03-27T10:00:00"
2759,"2023-03-27T11:00:00"
2773,"2023-03-27T12:00:00"
2759,"2023-03-27T13:00:00"
2744,"2023-03-27T14:00:00"
2755,"2023-03-27T15:00:00"
2761,"2023-03-27T16:00:00"
2770,"2023-03-27T17:00:00"
2764,"2023-03-27T18:00:00"
