date,pct_change
1,-0.6599999999999999
2,1.8150000000000002
3,0.74
4,-3.375
5,0.14
6,5.654999999999999
7,2.42
8,0.595
9,2.185
10,0.40499999999999997
11,6.255
12,-0.7899999999999996
